"","V1","V2","V3"
"result.763",162214,0.4,0.85
"result.764",162243,0.85,0.95
"result.765",162248,0.8,0.95
"result.766",162376,0.45,0.75
"result.767",162397,0.5,0.8
"result.768",162544,0.85,0.95
"result.769",162599,0.5,0.8
"result.770",162903,NA,0.75
"result.771",162905,0.7,0.95
"result.772",162908,0.65,0.9
"result.773",162999,NA,0.45
"result.774",163015,0.45,0.8
"result.775",163025,NA,0.75
"result.776",163149,0.4,0.85
"result.777",163154,0.9,0.95
"result.778",163444,0.9,0.95
"result.779",163462,0.8,0.95
"result.780",163903,0.5,0.85
"result.781",163952,0.5,0.8
"result.782",164008,0.4,0.7
"result.783",164186,0.55,0.9
"result.784",164208,NA,0.75
"result.785",164214,NA,0.7
"result.786",164228,NA,0.6
"result.787",164319,0.45,0.8
"result.788",164356,0.65,0.9
"result.789",164533,NA,0.75
"result.790",164652,0.65,0.85
"result.791",164822,NA,0.7
"result.792",164890,NA,0.75
"result.793",164910,0.4,0.8
"result.794",165167,0.65,0.85
"result.795",165199,0.55,0.8
"result.796",165215,NA,0.55
"result.797",165418,0.5,0.85
"result.798",165638,NA,0.65
"result.799",165696,0.5,0.85
"result.800",165730,0.4,0.7
"result.801",166225,NA,0.75
"result.802",166430,0.85,0.95
"result.803",166606,0.6,0.8
"result.804",166608,NA,0.6
"result.805",167102,0.6,0.9
"result.806",167152,0.45,0.85
"result.807",167200,NA,0.65
"result.808",167388,0.75,0.95
"result.809",167449,0.5,0.85
"result.810",167759,0.5,0.9
"result.811",167804,0.7,0.8
"result.812",168168,0.6,0.75
"result.813",168313,0.85,0.95
"result.814",168430,0.5,0.9
"result.815",168776,0.4,0.75
"result.816",169123,0.85,0.95
"result.817",169180,0.5,0.85
"result.818",169986,0.85,0.95
"result.819",170289,0.85,0.95
"result.820",170294,0.8,0.95
"result.821",170734,0.45,0.75
"result.822",170738,0.55,0.8
"result.823",170746,0.4,0.8
"result.824",171227,0.8,0.95
"result.825",171362,0.5,0.8
"result.826",171854,0.8,0.9
"result.827",171976,0.5,0.8
"result.828",172626,0.4,0.8
"result.829",172679,0.45,0.75
"result.830",172803,0.9,0.95
"result.831",173172,0.55,0.85
"result.832",173318,0.55,0.8
"result.833",173335,0.5,0.8
"result.834",173336,0.6,0.8
"result.835",173380,NA,0.5
"result.836",173383,0.5,0.75
"result.837",173932,0.85,0.95
"result.838",174057,0.7,0.9
"result.839",174330,0.55,0.85
"result.840",174332,0.7,0.9
"result.841",174415,0.75,0.9
"result.842",174458,0.65,0.8
"result.843",174494,0.55,0.8
"result.844",174645,0.8,0.95
"result.845",175025,0.55,0.8
"result.846",175222,0.85,0.95
"result.847",175231,0.8,0.9
"result.848",175248,0.65,0.9
"result.849",175283,0.7,0.95
"result.850",175325,0.55,0.9
"result.851",175589,0.75,0.95
"result.852",176143,0.75,0.95
"result.853",176481,0.6,0.9
"result.854",176757,0.75,0.9
"result.855",176944,0.8,0.95
"result.856",177500,0.8,0.95
"result.857",177548,0.9,0.95
"result.858",177613,0.75,0.85
"result.859",178121,0.9,0.95
"result.860",178219,0.5,0.85
"result.861",178225,0.75,0.9
"result.862",178306,0.4,0.65
"result.863",178308,0.75,0.85
"result.864",178492,0.65,0.85
"result.865",178881,0.65,0.95
"result.866",178890,NA,0.75
"result.867",179131,0.75,0.9
"result.868",179924,0.8,0.9
"result.869",179964,0.85,0.95
"result.870",179969,0.65,0.85
"result.871",179982,0.75,0.9
"result.872",180563,0.8,0.9
"result.873",180601,0.65,0.8
"result.874",180911,0.9,0.95
"result.875",180952,0.65,0.8
"result.876",181035,0.55,0.85
"result.877",181232,0.55,0.6
"result.878",181509,0.85,0.95
"result.879",181663,0.7,0.85
"result.880",181931,0.5,0.85
"result.881",182161,0.85,0.95
"result.882",182179,0.85,0.95
"result.883",182320,NA,NA
"result.884",182439,0.85,0.95
"result.885",182471,0.7,0.85
"result.886",182577,0.4,0.7
"result.887",182603,0.4,0.45
"result.888",183167,NA,0.65
"result.889",183364,0.7,0.9
"result.890",183776,0.4,0.7
"result.891",184051,NA,0.4
"result.892",184168,0.75,0.9
"result.893",184314,0.75,0.85
"result.894",184426,0.8,0.9
"result.895",184618,0.45,0.7
"result.896",184723,0.8,0.95
"result.897",184737,0.75,0.9
"result.898",184869,0.4,0.8
"result.899",184870,0.8,0.8
"result.900",185011,0.7,0.9
"result.901",185013,0.85,0.95
"result.902",185024,0.75,0.9
"result.903",185315,0.55,0.8
"result.904",185332,0.75,0.9
"result.905",185347,0.75,0.9
"result.906",185851,0.75,0.9
"result.907",185876,0.7,0.85
"result.908",185912,0.7,0.9
"result.909",185915,0.65,0.9
"result.910",186517,0.75,0.9
"result.911",186611,0.4,0.65
"result.912",186713,0.75,0.8
"result.913",186788,0.6,0.9
"result.914",186848,0.45,0.7
"result.915",187095,NA,0.4
"result.916",187333,0.45,0.5
"result.917",187591,NA,0.55
"result.918",188087,0.7,0.9
"result.919",188090,0.75,0.85
"result.920",188402,0.5,0.7
"result.921",188556,0.7,0.9
"result.922",189092,0.7,0.9
"result.923",189132,0.65,0.9
"result.924",189229,0.55,0.7
"result.925",189374,0.7,0.9
"result.926",189450,0.75,0.9
"result.927",189460,0.7,0.85
"result.928",189497,0.55,0.9
"result.929",189695,0.55,0.9
"result.930",189769,0.8,0.95
"result.931",189878,0.7,0.9
"result.932",189926,0.7,0.8
"result.933",190043,0.75,0.85
"result.934",190198,0.75,0.95
"result.935",190296,0.75,0.95
"result.936",190494,0.7,0.9
"result.937",191110,0.6,0.85
"result.938",191158,0.65,0.85
"result.939",191413,0.8,0.95
"result.940",191706,0.5,0.8
"result.941",191820,0.85,0.95
"result.942",191851,0.7,0.9
"result.943",191856,0.7,0.9
"result.944",192257,0.45,0.8
"result.945",192468,0.7,0.9
"result.946",192483,0.8,0.9
"result.947",193029,0.8,0.95
"result.948",194111,0.75,0.85
"result.949",194256,0.6,0.85
"result.950",195384,NA,NA
"result.951",195425,0.65,0.85
"result.952",195642,0.75,0.85
"result.953",195966,NA,0.4
"result.954",195969,0.5,0.5
"result.955",195976,0.7,0.85
"result.956",196109,0.6,0.85
"result.957",196196,0.8,0.85
"result.958",196526,NA,NA
"result.959",196537,0.65,0.85
"result.960",196639,0.6,0.8
"result.961",196726,0.85,0.95
"result.962",196739,0.65,0.85
"result.963",196982,0.75,0.9
"result.964",197052,NA,0.4
"result.965",197193,0.7,0.85
"result.966",197258,0.45,0.5
"result.967",197527,0.75,0.85
"result.968",197528,0.8,0.85
"result.969",197635,0.85,0.95
"result.970",197878,0.8,0.9
"result.971",197988,0.8,0.9
"result.972",198909,0.75,0.9
"result.973",198913,0.7,0.9
"result.974",200208,0.75,0.9
"result.975",200843,0.8,0.9
"result.976",200997,0.8,0.9
"result.977",201017,0.55,0.9
"result.978",201040,0.8,0.9
"result.979",201390,0.75,0.85
"result.980",201753,0.6,0.8
"result.981",201763,0.75,0.9
"result.982",202105,0.85,0.9
"result.983",202512,0.8,0.9
"result.984",202609,0.7,0.75
"result.985",203075,0.7,0.85
"result.986",203135,0.8,0.85
"result.987",203167,0.8,0.9
"result.988",203338,0.8,0.9
"result.989",203397,0.7,0.95
"result.990",203745,0.6,0.75
"result.991",203952,0.75,0.85
"result.992",204055,0.75,0.85
"result.993",204516,0.7,0.9
"result.994",204731,0.75,0.9
"result.995",204769,0.8,0.85
"result.996",204773,0.85,0.9
"result.997",204961,0.75,0.95
"result.998",205374,0.6,0.7
"result.999",205453,0.7,0.95
"result.1000",205511,0.8,0.9
"result.1001",205739,0.8,0.85
"result.1002",206254,0.8,0.95
"result.1003",206466,0.6,0.85
"result.1004",206789,0.7,0.9
"result.1005",206855,0.7,0.95
"result.1006",207118,0.7,0.9
"result.1007",207428,0.75,0.95
"result.1008",207611,0.4,0.5
"result.1009",207858,0.75,0.85
"result.1010",207874,0.7,0.9
"result.1011",208100,0.75,0.85
"result.1012",208162,0.7,0.9
"result.1013",208326,0.7,0.9
"result.1014",208613,0.75,0.85
"result.1015",208617,0.65,0.7
"result.1016",208671,0.6,0.75
"result.1017",208910,0.75,0.9
"result.1018",209151,0.7,0.95
"result.1019",209203,0.8,0.85
"result.1020",209366,0.5,0.75
"result.1021",209465,0.8,0.9
"result.1022",209535,0.8,0.9
"result.1023",209789,0.65,0.8
"result.1024",210088,0.85,0.9
"result.1025",210332,0.75,0.85
"result.1026",210592,0.8,0.85
"result.1027",210633,0.8,0.8
"result.1028",211712,0.9,0.95
"result.1029",212187,0.65,0.9
"result.1030",212415,0.75,0.9
"result.1031",212701,0.8,0.95
"result.1032",212954,0.8,0.9
"result.1033",213239,0.8,0.9
"result.1034",213747,0.8,0.85
"result.1035",214928,0.85,0.95
"result.1036",215388,0.85,0.85
"result.1037",216217,0.65,0.9
"result.1038",216446,0.6,0.8
"result.1039",216755,0.6,0.8
"result.1040",216772,0.6,0.85
"result.1041",216798,0.75,0.9
"result.1042",217027,0.65,0.9
"result.1043",217248,0.5,0.55
"result.1044",217360,0.8,0.85
"result.1045",217850,0.65,0.9
"result.1046",217943,0.8,0.85
"result.1047",218378,0.55,0.9
"result.1048",218601,0.8,0.95
"result.1049",218633,0.8,0.9
"result.1050",218879,0.8,0.95
"result.1051",218900,0.8,0.9
"result.1052",219207,0.6,0.85
"result.1053",219521,0.65,0.85
"result.1054",219758,0.85,0.9
"result.1055",219917,0.9,0.9
"result.1056",220044,0.45,0.6
"result.1057",220055,NA,0.7
"result.1058",220058,0.55,0.9
"result.1059",220112,0.65,0.85
"result.1060",220163,0.7,0.9
"result.1061",220315,0.8,0.9
"result.1062",220665,0.65,0.9
"result.1063",220668,0.8,0.9
"result.1064",220716,0.8,0.9
"result.1065",220751,0.85,0.9
"result.1066",221276,0.65,0.9
"result.1067",221584,0.85,0.9
"result.1068",222138,0.85,0.85
"result.1069",222317,0.75,0.9
"result.1070",222890,0.85,0.9
"result.1071",223830,0.6,0.85
"result.1072",224039,0.55,0.85
"result.1073",224577,0.6,0.85
"result.1074",224631,0.5,0.85
"result.1075",224633,0.7,0.9
"result.1076",224663,0.75,0.9
"result.1077",225540,0.8,0.9
"result.1078",225561,0.65,0.8
"result.1079",225802,0.6,0.8
"result.1080",225826,0.9,0.95
"result.1081",226153,0.65,0.7
"result.1082",226372,0.75,0.9
"result.1083",226427,0.75,0.8
"result.1084",226721,0.75,0.85
"result.1085",227290,0.75,0.85
"result.1086",227619,0.9,0.95
"result.1087",227795,0.7,0.85
"result.1088",228144,0.75,0.9
"result.1089",228187,0.85,0.9
"result.1090",228209,0.8,0.85
"result.1091",228660,0.55,0.8
"result.1092",228690,0.8,0.9
"result.1093",228715,0.75,0.85
"result.1094",228972,0.75,0.9
"result.1095",228985,0.75,0.85
"result.1096",229017,0.7,0.85
"result.1097",229313,0.7,0.85
"result.1098",229607,0.7,0.9
"result.1099",229629,0.8,0.9
"result.1100",229845,0.75,0.9
"result.1101",229873,0.75,0.85
"result.1102",229887,0.7,0.9
"result.1103",230213,0.75,0.8
"result.1104",230214,0.7,0.8
"result.1105",230616,0.75,0.85
"result.1106",230755,0.65,0.85
"result.1107",230757,0.8,0.9
"result.1108",231521,0.8,0.9
"result.1109",231550,NA,0.65
"result.1110",231869,0.55,0.85
"result.1111",231880,0.55,0.85
"result.1112",231930,0.8,0.85
"result.1113",231974,0.8,0.9
"result.1114",232001,0.9,0.95
"result.1115",232002,0.75,0.9
"result.1116",232269,0.75,0.9
"result.1117",232613,0.6,0.8
"result.1118",232614,0.75,0.9
"result.1119",232687,0.8,0.9
"result.1120",232809,0.85,0.95
"result.1121",232843,0.6,0.85
"result.1122",232924,0.8,0.95
"result.1123",232965,0.7,0.85
"result.1124",233181,0.85,0.9
"result.1125",233248,0.8,0.95
"result.1126",233450,0.75,0.9
"result.1127",233755,0.7,0.85
"result.1128",233818,0.85,0.9
"result.1129",234020,0.6,0.75
"result.1130",234037,0.85,0.95
"result.1131",234376,0.65,0.7
"result.1132",234621,0.7,0.9
"result.1133",234870,0.75,0.9
"result.1134",234942,0.8,0.95
"result.1135",235139,0.55,0.85
"result.1136",235143,0.55,0.85
"result.1137",235261,0.9,0.95
"result.1138",235298,0.65,0.8
"result.1139",235555,0.85,0.95
"result.1140",235752,0.5,0.85
"result.1141",235754,0.55,0.8
"result.1142",235796,0.65,0.85
"result.1143",236065,0.85,0.95
"result.1144",236180,0.8,0.9
"result.1145",236642,0.75,0.9
"result.1146",236676,0.75,0.9
"result.1147",236694,0.8,0.9
"result.1148",237523,0.8,0.9
"result.1149",237678,0.75,0.9
"result.1150",237943,0.6,0.85
"result.1151",238005,0.8,0.95
"result.1152",238023,0.85,0.95
"result.1153",238026,0.85,0.9
"result.1154",238370,0.75,0.9
"result.1155",238719,0.8,0.95
"result.1156",238735,0.85,0.9
"result.1157",238782,0.75,0.9
"result.1158",239065,0.85,0.95
"result.1159",239066,0.75,0.9
"result.1160",239099,0.85,0.95
"result.1161",239786,0.8,0.9
"result.1162",239788,0.8,0.9
"result.1163",239942,0.8,0.9
"result.1164",240041,0.85,0.9
"result.1165",240068,0.85,0.9
"result.1166",240440,0.6,0.75
"result.1167",240619,0.55,0.7
"result.1168",240784,0.8,0.9
"result.1169",241080,0.8,0.9
"result.1170",241177,0.85,0.95
"result.1171",241508,0.8,0.95
"result.1172",241721,0.75,0.9
"result.1173",241734,0.7,0.8
"result.1174",242035,0.85,0.9
"result.1175",242037,0.75,0.8
"result.1176",242199,0.8,0.95
"result.1177",242509,0.8,0.95
"result.1178",242974,0.8,0.9
"result.1179",242996,0.85,0.9
"result.1180",243282,0.8,0.9
"result.1181",243570,0.9,0.9
"result.1182",243592,0.8,0.9
"result.1183",243864,0.8,0.9
"result.1184",243895,0.75,0.9
"result.1185",243908,0.85,0.9
"result.1186",244220,0.8,0.85
"result.1187",244533,0.85,0.95
"result.1188",244739,0.85,0.9
"result.1189",244740,0.85,0.95
"result.1190",245473,0.85,0.9
"result.1191",245733,0.85,0.9
"result.1192",245736,0.75,0.85
"result.1193",245759,0.5,0.55
"result.1194",246015,0.75,0.85
"result.1195",246021,0.85,0.9
"result.1196",246154,0.85,0.95
"result.1197",246177,0.65,0.75
"result.1198",246318,0.85,0.9
"result.1199",246393,NA,0.55
"result.1200",246394,0.75,0.85
"result.1201",246466,0.8,0.9
"result.1202",246602,0.85,0.9
"result.1203",247036,0.55,0.7
"result.1204",247061,0.75,0.85
"result.1205",247062,0.75,0.95
"result.1206",247145,0.85,0.95
"result.1207",247159,0.85,0.9
"result.1208",247161,0.85,0.9
"result.1209",247471,0.65,0.75
"result.1210",248175,0.7,0.8
"result.1211",248634,0.8,0.9
"result.1212",248931,0.85,0.95
"result.1213",248938,0.8,0.9
"result.1214",249113,0.45,0.55
"result.1215",249344,0.65,0.9
"result.1216",249631,0.7,0.85
"result.1217",249743,0.65,0.8
"result.1218",249826,0.8,0.9
"result.1219",249847,0.7,0.8
"result.1220",249913,0.7,0.9
"result.1221",249916,0.7,0.9
"result.1222",250005,0.75,0.9
"result.1223",250180,0.8,0.9
"result.1224",250187,0.9,0.95
"result.1225",250409,0.8,0.85
"result.1226",250603,0.8,0.9
"result.1227",250735,0.6,0.7
"result.1228",250913,0.8,0.9
"result.1229",250947,0.9,0.95
"result.1230",251044,0.75,0.9
"result.1231",251048,0.7,0.9
"result.1232",251050,0.7,0.85
"result.1233",251051,0.65,0.85
"result.1234",251283,0.7,0.75
"result.1235",251378,0.7,0.8
"result.1236",251997,0.8,0.9
"result.1237",252026,0.7,0.85
"result.1238",252029,0.55,0.85
"result.1239",252074,0.8,0.95
"result.1240",252407,0.8,0.9
"result.1241",252533,0.8,0.85
"result.1242",252624,0.7,0.8
"result.1243",252709,0.8,0.95
"result.1244",253048,0.8,0.9
"result.1245",253480,0.8,0.95
"result.1246",253574,0.7,0.85
"result.1247",253717,0.75,0.85
"result.1248",253739,0.65,0.75
"result.1249",253933,0.55,0.8
"result.1250",253997,0.8,0.9
"result.1251",254058,0.45,0.55
"result.1252",254276,0.7,0.85
"result.1253",254318,0.65,0.85
"result.1254",254360,0.8,0.95
"result.1255",254599,0.6,0.85
"result.1256",254797,0.65,0.8
"result.1257",254898,0.65,0.85
"result.1258",255194,0.85,0.9
"result.1259",255707,NA,0.5
"result.1260",255793,0.65,0.85
"result.1261",255825,0.7,0.9
"result.1262",255843,0.7,0.9
"result.1263",255853,0.7,0.9
"result.1264",256169,0.7,0.8
"result.1265",256484,0.6,0.9
"result.1266",256825,0.8,0.9
"result.1267",257047,0.7,0.85
"result.1268",257125,0.8,0.95
"result.1269",257213,0.85,0.9
"result.1270",257416,0.75,0.8
"result.1271",257421,0.7,0.85
"result.1272",257570,0.85,0.9
"result.1273",257667,0.55,0.8
"result.1274",257747,0.7,0.85
"result.1275",258066,0.6,0.75
"result.1276",258067,0.75,0.8
"result.1277",258088,0.6,0.85
"result.1278",258197,0.8,0.9
"result.1279",258201,0.8,0.9
"result.1280",258391,0.7,0.85
"result.1281",258524,0.8,0.95
"result.1282",258802,0.8,0.9
"result.1283",258813,0.5,0.6
"result.1284",258847,0.55,0.8
"result.1285",259107,0.75,0.85
"result.1286",259237,0.7,0.85
"result.1287",259367,NA,0.45
"result.1288",259785,0.55,0.85
"result.1289",260321,0.85,0.95
"result.1290",260774,0.7,0.85
"result.1291",260901,0.6,0.7
"result.1292",261198,0.75,0.8
"result.1293",261227,0.4,0.65
"result.1294",261360,0.7,0.85
"result.1295",261682,0.7,0.85
"result.1296",261707,0.7,0.85
"result.1297",261735,0.85,0.95
"result.1298",262119,0.55,0.6
"result.1299",262126,0.7,0.75
"result.1300",262155,0.8,0.95
"result.1301",262219,0.8,0.85
"result.1302",262337,0.7,0.8
"result.1303",262352,0.7,0.85
"result.1304",262386,0.85,0.95
"result.1305",262454,0.8,0.85
"result.1306",262615,0.85,0.95
"result.1307",262664,0.8,0.9
"result.1308",262667,0.85,0.9
"result.1309",262810,0.9,0.95
"result.1310",263012,0.8,0.95
"result.1311",263047,0.85,0.95
"result.1312",263683,0.8,0.85
"result.1313",264004,0.8,0.85
"result.1314",264266,0.7,0.85
"result.1315",264614,0.85,0.95
"result.1316",264861,0.8,0.9
"result.1317",264917,0.7,0.75
"result.1318",264938,0.5,0.65
"result.1319",265117,0.7,0.85
"result.1320",265260,0.6,0.95
"result.1321",265268,0.4,0.85
"result.1322",265271,NA,0.6
"result.1323",265283,0.75,0.9
"result.1324",265445,0.65,0.85
"result.1325",265472,0.8,0.9
"result.1326",265607,0.6,0.9
"result.1327",265738,0.85,0.95
"result.1328",265914,0.8,0.9
"result.1329",266182,0.8,0.95
"result.1330",266305,0.85,0.95
"result.1331",266359,0.6,0.85
"result.1332",266459,NA,0.4
"result.1333",267089,0.8,0.9
"result.1334",267976,0.65,0.9
"result.1335",267996,0.75,0.8
"result.1336",268593,0.75,0.85
"result.1337",268818,0.8,0.9
"result.1338",268875,0.7,0.9
"result.1339",269093,0.75,0.85
"result.1340",269346,0.65,0.85
"result.1341",269485,0.75,0.85
"result.1342",269580,0.8,0.9
"result.1343",269592,0.75,0.85
"result.1344",269723,0.85,0.9
"result.1345",269873,0.7,0.8
"result.1346",269877,0.7,0.8
"result.1347",270104,0.85,0.9
"result.1348",270106,0.85,0.9
"result.1349",270259,0.75,0.85
"result.1350",270377,0.8,0.9
"result.1351",270378,0.8,0.95
"result.1352",270815,0.8,0.95
"result.1353",271078,0.75,0.95
"result.1354",271168,0.85,0.95
"result.1355",271316,NA,0.65
"result.1356",271321,0.85,0.9
"result.1357",271610,0.5,0.5
"result.1358",271739,0.85,0.9
"result.1359",272089,0.75,0.85
"result.1360",272092,0.7,0.85
"result.1361",272190,0.85,0.9
"result.1362",272203,NA,0.6
"result.1363",272318,0.8,0.9
"result.1364",272761,0.75,0.95
"result.1365",272955,0.8,0.85
"result.1366",273022,0.85,0.9
"result.1367",273030,0.8,0.9
"result.1368",273138,0.8,0.95
"result.1369",273462,0.7,0.7
"result.1370",273527,NA,0.45
"result.1371",273809,0.7,0.9
"result.1372",273972,0.85,0.95
"result.1373",274081,0.85,0.95
"result.1374",274352,0.8,0.9
"result.1375",274500,0.85,0.95
"result.1376",274534,0.85,0.85
"result.1377",274798,0.7,0.85
"result.1378",274886,0.75,0.9
"result.1379",275168,0.7,0.9
"result.1380",275366,0.8,0.8
"result.1381",275643,0.7,0.85
"result.1382",275923,0.85,0.95
"result.1383",275925,0.85,0.95
"result.1384",276154,0.8,0.95
"result.1385",276663,0.8,0.9
"result.1386",276701,0.65,0.7
"result.1387",276703,0.8,0.9
"result.1388",276840,0.85,0.95
"result.1389",277117,0.6,0.85
"result.1390",277483,0.75,0.9
"result.1391",277976,0.85,0.95
"result.1392",278016,0.7,0.85
"result.1393",278017,0.85,0.95
"result.1394",278036,0.8,0.9
"result.1395",278474,0.85,0.95
"result.1396",278481,0.85,0.95
"result.1397",278516,0.7,0.8
"result.1398",278537,0.85,0.9
"result.1399",278599,0.85,0.95
"result.1400",278733,0.8,0.95
"result.1401",278741,0.65,0.7
"result.1402",278761,0.8,0.9
"result.1403",278828,0.8,0.95
"result.1404",279020,0.7,0.85
"result.1405",279254,0.85,0.95
"result.1406",279410,0.85,0.95
"result.1407",279415,0.85,0.95
"result.1408",279545,0.85,0.95
"result.1409",279564,0.75,0.9
"result.1410",279975,0.85,0.95
"result.1411",280068,0.75,0.9
"result.1412",280220,0.85,0.95
"result.1413",280334,0.5,0.6
"result.1414",280360,0.8,0.9
"result.1415",280363,0.8,0.95
"result.1416",280489,0.65,0.85
"result.1417",280671,0.8,0.95
"result.1418",280706,0.75,0.8
"result.1419",280901,0.8,0.95
"result.1420",281073,0.75,0.9
"result.1421",281074,0.85,0.9
"result.1422",281083,0.8,0.9
"result.1423",281141,0.8,0.95
"result.1424",281337,0.75,0.9
"result.1425",281419,0.8,0.9
"result.1426",281548,0.75,0.8
"result.1427",281722,0.8,0.95
"result.1428",282113,0.75,0.9
"result.1429",282164,0.85,0.95
"result.1430",282433,0.85,0.95
"result.1431",282698,0.85,0.95
"result.1432",282910,0.8,0.9
"result.1433",282912,0.8,0.85
"result.1434",283071,0.85,0.9
"result.1435",283076,0.75,0.85
"result.1436",283224,0.85,0.95
"result.1437",283323,0.75,0.85
"result.1438",283578,0.65,0.9
"result.1439",283691,0.8,0.85
"result.1440",283856,0.85,0.95
"result.1441",284146,0.8,0.9
"result.1442",284278,0.7,0.85
"result.1443",284321,0.75,0.85
"result.1444",284533,0.8,0.85
"result.1445",284595,0.7,0.9
"result.1446",284612,0.85,0.95
"result.1447",284644,0.85,0.9
"result.1448",284856,0.75,0.9
"result.1449",284900,0.75,0.95
"result.1450",285358,0.75,0.9
"result.1451",285390,0.85,0.9
"result.1452",285393,0.8,0.95
"result.1453",285425,0.65,0.85
"result.1454",285651,0.85,0.95
"result.1455",285687,0.65,0.85
"result.1456",285748,0.4,0.65
"result.1457",285811,0.75,0.8
"result.1458",285882,0.85,0.85
"result.1459",285908,0.85,0.9
"result.1460",286369,0.7,0.85
"result.1461",286474,0.85,0.9
"result.1462",286480,0.85,0.9
"result.1463",286583,0.8,0.85
"result.1464",286595,0.8,0.9
"result.1465",286929,0.75,0.95
"result.1466",286934,0.75,0.95
"result.1467",286949,0.75,0.9
"result.1468",287034,0.7,0.75
"result.1469",287113,0.4,0.45
"result.1470",287138,0.8,0.9
"result.1471",287267,0.85,0.9
"result.1472",287365,0.8,0.85
"result.1473",287431,0.75,0.95
"result.1474",287745,0.7,0.85
"result.1475",287772,0.8,0.9
"result.1476",287837,0.75,0.9
"result.1477",287869,0.8,0.9
"result.1478",288130,0.65,0.7
"result.1479",288301,0.75,0.85
"result.1480",288394,0.8,0.9
"result.1481",288868,0.8,0.9
"result.1482",288877,0.8,0.9
"result.1483",289019,0.65,0.75
"result.1484",289043,0.8,0.9
"result.1485",289353,0.8,0.9
"result.1486",289466,0.85,0.9
"result.1487",289470,0.45,0.75
"result.1488",289555,0.75,0.8
"result.1489",289573,0.75,0.95
